                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6955,                 1.6214,                 1.6961,                0.75676,                    0.5,                0.66085,                0.32262,                 1.9182,                 2.2339,                 2.0678,              0.0019683,              0.0019683,              0.0019683
                     35,                 1.5316,                  1.647,                 1.6487,                 0.8349,                0.38889,                0.53371,                0.21621,                 2.1341,                 3.0208,                 2.3847,              0.0019673,              0.0019673,              0.0019673
                     36,                 1.6034,                 1.5273,                  1.672,                0.34691,                0.61111,                0.39142,                 0.1545,                 2.4989,                 3.4744,                 2.7024,              0.0019663,              0.0019663,              0.0019663
                     37,                 1.6434,                 1.5482,                 1.7043,                0.35373,                0.61111,                0.44951,                0.14117,                 2.3093,                 2.7192,                 2.4313,              0.0019654,              0.0019654,              0.0019654
                     38,                 1.5627,                 1.3819,                 1.6178,                0.89789,                0.48944,                0.59953,                 0.2667,                 2.4199,                 2.3167,                 2.6222,              0.0019644,              0.0019644,              0.0019644
                     39,                 1.5333,                 1.4139,                 1.6231,                0.73848,                0.47185,                0.51273,                0.25735,                 2.4373,                 2.3615,                  2.723,              0.0019634,              0.0019634,              0.0019634
                     40,                 1.5038,                  1.467,                 1.5658,                0.83083,                0.54639,                0.64838,                0.27231,                 2.1538,                 1.9963,                  2.536,              0.0019624,              0.0019624,              0.0019624
                     41,                 1.4597,                 1.3349,                 1.5601,                0.65054,                0.61111,                0.64817,                 0.2941,                 2.0292,                 2.5311,                 2.4153,              0.0019614,              0.0019614,              0.0019614
                     42,                 1.5278,                 1.3375,                 1.5869,                0.79561,                0.43347,                0.54918,                0.27945,                 2.0893,                 2.5463,                 2.3721,              0.0019604,              0.0019604,              0.0019604
                     43,                 1.5927,                 1.3702,                 1.5852,                0.79207,                0.55556,                0.63218,                0.29108,                 1.9393,                 1.9896,                 2.1926,              0.0019594,              0.0019594,              0.0019594
                     44,                 1.4759,                 1.2674,                  1.531,                0.90017,                0.61111,                0.68087,                0.30155,                 1.9895,                 1.6447,                 2.2236,              0.0019584,              0.0019584,              0.0019584
                     45,                 1.3836,                 1.2861,                 1.5276,                0.84191,                0.61111,                0.71525,                0.32524,                 2.0361,                 1.6436,                   2.31,              0.0019574,              0.0019574,              0.0019574
                     46,                 1.4653,                 1.2964,                 1.5709,                 0.8448,                0.60525,                0.65507,                0.28858,                   2.08,                 1.7782,                 2.0946,              0.0019564,              0.0019564,              0.0019564
                     47,                 1.5756,                 1.3133,                 1.5853,                0.62701,                0.55556,                0.58259,                0.26404,                 1.9931,                 1.7281,                 2.0414,              0.0019555,              0.0019555,              0.0019555
                     48,                 1.5363,                 1.2932,                 1.5719,                0.59314,                0.40589,                0.47075,                0.12711,                 2.3807,                 2.1381,                 2.4074,              0.0019545,              0.0019545,              0.0019545
                     49,                 1.3598,                 1.1621,                 1.4903,                0.45114,                0.32046,                0.37509,                0.09497,                 2.6005,                 2.3742,                 2.5789,              0.0019535,              0.0019535,              0.0019535
                     50,                 1.4583,                 1.2696,                 1.5543,                0.78699,                    0.5,                0.68625,                0.25143,                 2.0778,                 1.6672,                 2.1635,              0.0019525,              0.0019525,              0.0019525
                     51,                 1.5032,                 1.2145,                 1.5532,                0.50054,                0.61111,                0.64327,                0.22085,                 2.0605,                 1.9054,                 2.2176,              0.0019515,              0.0019515,              0.0019515
                     52,                 1.4513,                 1.1808,                 1.5423,                0.63861,                0.68788,                0.63765,                0.24305,                 1.9785,                 1.9777,                 2.3344,              0.0019505,              0.0019505,              0.0019505
                     53,                 1.5325,                 1.2719,                 1.5998,                0.85273,                0.64437,                0.77241,                0.35233,                 1.9712,                 1.8671,                 2.1822,              0.0019495,              0.0019495,              0.0019495
                     54,                 1.5199,                 1.2525,                 1.6352,                0.86316,                0.77778,                0.85201,                0.41046,                 1.6975,                 1.6472,                 1.9095,              0.0019485,              0.0019485,              0.0019485
                     55,                 1.4447,                 1.2537,                 1.5603,                0.88568,                0.94444,                0.92605,                0.44839,                 1.6957,                 1.5088,                 1.9612,              0.0019475,              0.0019475,              0.0019475
                     56,                 1.4961,                 1.2346,                 1.5654,                0.86727,                0.72627,                0.87591,                0.45202,                 1.7358,                 1.3674,                 2.0553,              0.0019465,              0.0019465,              0.0019465
                     57,                 1.4326,                 1.3216,                 1.5222,                0.99691,                0.88889,                0.93305,                0.41389,                 1.7955,                 1.2502,                 2.0733,              0.0019456,              0.0019456,              0.0019456
                     58,                 1.4901,                 1.2119,                 1.5289,                0.87437,                0.77354,                0.81949,                0.40059,                 1.7293,                 1.2886,                 1.8773,              0.0019446,              0.0019446,              0.0019446
                     59,                 1.4221,                 1.1581,                 1.5227,                0.72741,                0.77778,                0.76405,                0.35473,                  1.785,                  1.399,                 1.9618,              0.0019436,              0.0019436,              0.0019436
